station_id,vehicle_id,timestamp,charge_kwh,duration_min,status,location,user_type
EV-STN-007,EV-65431,2024-02-14T10:15:00.000000Z,39.94,ACTIVE,Delhi, IN,SUBSCRIBER
EV-STN-021,EV-43600,2025-04-01T14:00:00.000000Z,39.94,FAULT,Delhi, IN,SUBSCRIBER
EV-STN-022,EV-65434,2025-05-01T11:00:00.000000Z,43.94,ACTIVE,Ahmedabad, IN,GUEST
EV-STN-030,EV-21911,2025-12-01T13:45:00.000000Z,41.94,ACTIVE,Ahmedabad, IN,SUBSCRIBER
EV-STN-048,EV-65439,2027-06-01T11:30:00.000000Z,48.94,60,Mumbai, IN,GUEST
EV-STN-056,EV-21916,2028-02-01T14:00:00.000000Z,44.94,ACTIVE,Bangalore, IN,GUEST
EV-STN-085,EV-6544104,20291-05-01T13:15:00.000000Z,52.94,ACTIVE,Ahmedabad, IN,SUBSCRIBER
EV-STN-090,EV-6544105,20291-10-01T13:15:00.000000Z,53.94,ACTIVE,Mumbai, IN,SUBSCRIBER
EV-STN-106,EV-21926,20291-026-01T14:00:00.000000Z,54.94,ACTIVE,Chennai, IN,GUEST
EV-STN-130,EV-6544113,20291-050-01T13:15:00.000000Z,61.94,ACTIVE,Chennai, IN,SUBSCRIBER
EV-STN-004,EV-362,2025-06-18T11:50:59.643453Z,21.95,47,IDLE,"Pune, IN",SUBSCRIBER
EV-STN-006,EV-19289,2025-06-18T11:52:59.643453Z,32.41,20,FAULT,"Mumbai, IN",GUEST
EV-STN-008,EV-82913,2025-06-18T11:54:59.643453Z,40.19,35,IDLE,"Delhi, IN",SUBSCRIBER
EV-STN-010,EV-42191,2025-06-18T11:56:59.643453Z,23.52,44,IDLE,"Kolkata, IN",GUEST
EV-STN-012,EV-21983,2025-06-18T11:58:59.643453Z,35.61,48,FAULT,"Chandigarh, IN",SUBSCRIBER
EV-STN-014,EV-13829,2025-06-18T12:00:59.643453Z,42.85,37,IDLE,"Jaipur, IN",GUEST
EV-STN-016,EV-64821,2025-06-18T12:02:59.643453Z,29.74,32,FAULT,"Surat, IN",SUBSCRIBER
EV-STN-018,EV-98213,2025-06-18T12:04:59.643453Z,44.29,29,IDLE,"Ahmedabad, IN",GUEST
EV-STN-021,EV-21981,2025-06-18T12:06:59.643453Z,31.94,41,FAULT,"Lucknow, IN",SUBSCRIBER
EV-STN-023,EV-13827,2025-06-18T12:08:59.643453Z,22.51,46,IDLE,"Nagpur, IN",GUEST
EV-STN-025,EV-64929,2025-06-18T12:10:59.643453Z,36.94,36,FAULT,"Patna, IN",SUBSCRIBER
EV-STN-027,EV-98219,2025-06-18T12:12:59.643453Z,28.29,34,IDLE,"Ranchi, IN",GUEST
EV-STN-029,EV-21985,2025-06-18T12:14:59.643453Z,45.29,42,FAULT,"Bhopal, IN",SUBSCRIBER
