station_id,vehicle_id,timestamp,charge_kwh,duration_min,status,location,user_type
EV-STN-004,EV-4211,2025-07-01T10:15:00.000000Z,35.67,51,IDLE,"Mumbai, IN",GUEST
EV-STN-005,EV-9358,2025-07-01T10:16:00.000000Z,41.82,29,CHARGING,"Delhi, IN",SUBSCRIBER
EV-STN-006,EV-1183,2025-07-01T10:17:00.000000Z,27.19,45,IDLE,"Pune, IN",GUEST
EV-STN-007,EV-6594,2025-07-01T10:18:00.000000Z,31.43,13,FAULT,"Kolkata, IN",SUBSCRIBER
EV-STN-008,EV-2750,2025-07-01T10:19:00.000000Z,43.91,20,IDLE,"Hyderabad, IN",GUEST
EV-STN-009,EV-8172,2025-07-01T10:20:00.000000Z,48.25,38,CHARGING,"Chennai, IN",SUBSCRIBER
EV-STN-010,EV-4621,2025-07-01T10:21:00.000000Z,24.12,52,IDLE,"Bangalore, IN",GUEST
EV-STN-011,EV-1395,2025-07-01T10:22:00.000000Z,39.74,11,FAULT,"Mumbai, IN",SUBSCRIBER
EV-STN-012,EV-6548,2025-07-01T10:23:00.000000Z,26.51,16,IDLE,"Delhi, IN",GUEST
EV-STN-013,EV-3829,2025-07-01T10:24:00.000000Z,42.98,35,CHARGING,"Pune, IN",SUBSCRIBER
EV-STN-014,EV-9251,2025-07-01T10:25:00.000000Z,30.67,22,IDLE,"Kolkata, IN",GUEST
EV-STN-015,EV-1121,2025-07-01T10:26:00.000000Z,36.49,50,FAULT,"Hyderabad, IN",SUBSCRIBER
EV-STN-016,EV-7532,2025-07-01T10:27:00.000000Z,40.11,15,IDLE,"Chennai, IN",GUEST
EV-STN-017,EV-2967,2025-07-01T10:28:00.000000Z,25.83,49,CHARGING,"Bangalore, IN",SUBSCRIBER
EV-STN-018,EV-8195,2025-07-01T10:29:00.000000Z,28.35,26,IDLE,"Mumbai, IN",GUEST
EV-STN-019,EV-4673,2025-07-01T10:30:00.000000Z,39.29,18,FAULT,"Delhi, IN",SUBSCRIBER
EV-STN-020,EV-1359,2025-07-01T10:31:00.000000Z,41.92,44,IDLE,"Pune, IN",GUEST
EV-STN-021,EV-6512,2025-07-01T10:32:00.000000Z,32.98,21,CHARGING,"Kolkata, IN",SUBSCRIBER
EV-STN-022,EV-2834,2025-07-01T10:33:00.000000Z,27.45,48,IDLE,"Hyderabad, IN",GUEST
EV-STN-023,EV-8143,2025-07-01T10:34:00.000000Z,34.56,19,FAULT,"Chennai, IN",SUBSCRIBER
EV-STN-024,EV-4521,2025-07-01T10:35:00.000000Z,42.14,17,IDLE,"Bangalore, IN",GUEST
EV-STN-025,EV-1918,2025-07-01T10:36:00.000000Z,30.92,46,CHARGING,"Mumbai, IN",SUBSCRIBER
EV-STN-026,EV-7299,2025-07-01T10:37:00.000000Z,25.11,14,IDLE,"Delhi, IN",GUEST
